incubation_time,infectious_time,r_zero,lock_1_restrict,lock_2_release,repeats
5.911204,2.969596,2.514968,0.070355,0.775533,5.000000
5.612542,3.524203,2.984712,0.357671,0.927474,5.000000
5.536546,3.186377,2.574426,0.037747,0.695913,5.000000
5.908785,3.313026,2.660444,0.105726,0.055308,5.000000
5.109148,3.478775,3.128702,0.166903,0.105006,5.000000
4.426271,2.045226,2.772348,0.409673,0.337827,5.000000
4.853960,3.788730,2.947302,0.155630,0.729063,5.000000
5.785172,3.468301,2.537731,0.556356,0.321525,5.000000
4.265309,3.257080,2.568543,0.034786,0.661644,5.000000
4.713424,3.321230,2.703498,0.137373,0.271306,5.000000
4.738481,3.984374,2.690825,0.164736,0.840794,5.000000
5.700909,3.901691,2.787109,0.219804,0.752997,5.000000
4.665671,2.591911,2.572717,0.158950,0.965680,5.000000
4.224182,3.871214,2.556311,0.239673,0.445849,5.000000
5.476590,2.341701,2.517543,0.227353,0.104471,5.000000
5.084035,2.858777,2.747393,0.111052,0.745096,5.000000
4.634949,3.568159,2.942353,0.119212,0.190897,5.000000
5.706723,3.236927,2.724804,0.205005,0.231249,5.000000
4.807485,3.743567,2.707608,0.053839,0.341436,5.000000
5.125091,3.506234,2.500713,0.363479,0.167641,5.000000
5.106171,3.734125,2.519552,0.098249,0.739597,5.000000
4.675687,3.894989,2.568057,0.361202,0.623193,5.000000
5.053931,2.804473,2.669713,0.230532,0.020396,5.000000
5.559736,2.739088,2.724186,0.297568,0.860160,5.000000
4.468790,3.391843,2.575052,0.042606,0.921580,5.000000
5.450857,3.569205,2.907825,0.314200,0.712724,5.000000
4.923897,3.986644,2.650674,0.059046,0.759693,5.000000
5.412131,3.486559,2.809046,0.289436,0.096769,5.000000
4.753816,3.938891,2.584378,0.561247,0.800431,5.000000
4.413000,3.807553,2.629369,0.088497,0.966882,5.000000
5.043767,2.769508,2.561957,0.049376,0.202908,5.000000
5.016180,2.064626,2.571982,0.357442,0.684587,5.000000
5.120912,3.064155,2.500213,0.408722,0.334543,5.000000
5.643619,3.873067,2.780249,0.213752,0.835206,5.000000
4.183818,2.452358,2.524765,0.157414,0.723921,5.000000
5.225496,2.999151,2.523555,0.501970,0.058840,5.000000
5.847510,3.189273,2.669274,0.537640,0.906837,5.000000
5.273130,2.504896,2.660572,0.161844,0.569210,5.000000
5.216420,2.641642,2.607408,0.009962,0.871854,5.000000
4.155375,2.713287,2.632963,0.290987,0.264822,5.000000
